2026-07-02 14:53:47 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984227.jpg
2026-07-02 14:53:48 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984228.jpg
2026-07-02 14:53:49 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984229.jpg
2026-07-02 14:53:49 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984229.jpg
2026-07-02 14:53:49 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984229.jpg
2026-07-02 14:53:49 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984229.jpg
2026-07-02 14:53:51 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984231.jpg
2026-07-02 14:54:33 | INFO     | camera | Confidence threshold -> 0.55
2026-07-02 14:54:39 | INFO     | camera | Confidence threshold -> 0.60
2026-07-02 14:55:03 | INFO     | camera | Confidence threshold -> 0.65
2026-07-02 14:55:18 | INFO     | camera | Confidence threshold -> 0.60
2026-07-02 14:55:19 | INFO     | camera | Confidence threshold -> 0.55
2026-07-02 14:55:20 | INFO     | camera | Confidence threshold -> 0.50
2026-07-02 14:55:21 | INFO     | camera | Confidence threshold -> 0.45
2026-07-02 14:55:21 | INFO     | camera | Confidence threshold -> 0.40
2026-07-02 14:55:22 | INFO     | camera | Confidence threshold -> 0.35
2026-07-02 14:55:23 | INFO     | camera | Confidence threshold -> 0.30
2026-07-02 14:55:28 | INFO     | camera | Confidence threshold -> 0.35
2026-07-02 14:55:29 | INFO     | camera | Confidence threshold -> 0.40
2026-07-02 14:55:29 | INFO     | camera | Confidence threshold -> 0.45
2026-07-02 14:55:31 | INFO     | camera | Confidence threshold -> 0.50
2026-07-02 14:55:32 | INFO     | camera | Confidence threshold -> 0.55
2026-07-02 14:55:34 | INFO     | camera | Confidence threshold -> 0.60
2026-07-02 14:55:36 | INFO     | camera | Confidence threshold -> 0.65
2026-07-02 14:55:55 | INFO     | camera | Confidence threshold -> 0.70
2026-07-02 14:55:56 | INFO     | camera | Confidence threshold -> 0.75
2026-07-02 14:55:58 | INFO     | camera | Confidence threshold -> 0.70
2026-07-02 14:55:59 | INFO     | camera | Confidence threshold -> 0.65
2026-07-02 14:56:00 | INFO     | camera | Confidence threshold -> 0.60
2026-07-02 14:56:02 | INFO     | camera | Confidence threshold -> 0.55
2026-07-02 14:56:17 | INFO     | camera | Confidence threshold -> 0.50
2026-07-02 14:56:18 | INFO     | camera | Confidence threshold -> 0.45
2026-07-02 14:56:19 | INFO     | camera | Confidence threshold -> 0.40
2026-07-02 14:56:20 | INFO     | camera | Confidence threshold -> 0.35
2026-07-02 14:56:21 | INFO     | camera | Confidence threshold -> 0.30
2026-07-02 14:58:15 | INFO     | camera | Confidence threshold -> 0.35
2026-07-02 14:58:16 | INFO     | camera | Confidence threshold -> 0.40
2026-07-02 14:58:24 | INFO     | camera | Confidence threshold -> 0.45
2026-07-02 14:58:25 | INFO     | camera | Confidence threshold -> 0.50
2026-07-02 14:58:29 | INFO     | camera | Confidence threshold -> 0.55
2026-07-02 14:58:31 | INFO     | camera | Confidence threshold -> 0.50
2026-07-02 14:58:34 | INFO     | camera | Confidence threshold -> 0.45
2026-07-02 14:58:38 | INFO     | camera | Confidence threshold -> 0.40
2026-07-02 14:58:39 | INFO     | camera | Confidence threshold -> 0.35
2026-07-02 14:58:39 | INFO     | camera | Confidence threshold -> 0.30
2026-07-02 14:58:40 | INFO     | camera | Confidence threshold -> 0.25
2026-07-02 14:58:40 | INFO     | camera | Confidence threshold -> 0.20
2026-07-02 14:58:41 | INFO     | camera | Confidence threshold -> 0.15
2026-07-02 14:58:43 | INFO     | camera | Confidence threshold -> 0.10
2026-07-02 14:58:47 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:58:49 | INFO     | camera | Confidence threshold -> 0.10
